DEGREE PROGRAM,ABBREVIATION,DESCRIPTION,PROGRAM OUTCOMES
BS EARLY CHILDHOOD EDUCATION,BSECEd,"BS Early Childhood Education focuses on the development, care, and education of young children from birth to age eight. The program includes courses in child development, curriculum planning, early childhood education methods, and family engagement.","Graduates can work as early childhood educators, preschool teachers, childcare center directors, or family support specialists. They can find employment in preschools, childcare centers, elementary schools, community organizations, and government agencies."
BS ECOLOGICAL AND ENVIRONMENTAL ENGINEERING,BSEEng,"BS Ecological and Environmental Engineering combines engineering principles with environmental science to address ecological challenges and promote sustainable practices. The program includes courses in environmental engineering, ecology, water resources management, and pollution control.","Graduates can work as environmental engineers, sustainability consultants, water resources engineers, or environmental impact assessors. They can find employment in environmental consulting firms, government agencies, non-profit organizations, and industry."
BS ECONOMICS,BSEco,"BS Economics provides a comprehensive education in economic theory, quantitative analysis, and applied economics. The program includes courses in microeconomics, macroeconomics, econometrics, and economic policy.","Graduates can work as economists, financial analysts, policy analysts, or economic consultants. They can find employment in government agencies, financial institutions, consulting firms, international organizations, and research institutions."
BS EDUCATION,BSE,"BS Education prepares students for teaching careers at various educational levels. The program includes courses in educational theory, teaching methods, curriculum development, classroom management, and subject-specific pedagogy.","Graduates can work as teachers, educational administrators, curriculum developers, or educational consultants. They can find employment in primary and secondary schools, educational institutions, non-profit organizations, and government agencies."
BS EDUCATION INFORMATION,BSEI,"BS Education Information focuses on the use of information technology and data management in educational settings. The program includes courses in educational technology, data analysis, information systems, and instructional design.","Graduates can work as educational technologists, instructional designers, data analysts, or IT coordinators in schools. They can find employment in educational institutions, school districts, educational technology companies, and government agencies."
BS ELECTRICAL ENGINEERING,BSEE,"BS Electrical Engineering emphasizes the principles and applications of electricity, electronics, and electromagnetism. The program includes courses in circuit analysis, control systems, power systems, signal processing, and telecommunications.","Graduates can work as electrical engineers, power engineers, electronics engineers, or control systems engineers. They can find employment in industries such as power generation, telecommunications, electronics manufacturing, and aerospace."
BS ELECTRICAL TECHNOLOGY,BSETec,"BS Electrical Technology focuses on the practical aspects of electrical systems and technologies. The program includes courses in electrical installation, maintenance, electrical machinery, and industrial electronics.","Graduates can work as electrical technicians, maintenance supervisors, industrial electricians, or field service engineers. They can find employment in manufacturing plants, construction companies, utility companies, and maintenance service providers."
BS ELECTRO-MECHANICAL TECHNOLOGY,BSEMT,"BS Electro-Mechanical Technology integrates principles of both electrical and mechanical engineering to design and maintain electro-mechanical systems. The program includes courses in mechanics, electronics, automation, and robotics.","Graduates can work as electro-mechanical technicians, automation engineers, maintenance engineers, or robotics specialists. They can find employment in manufacturing, automotive, aerospace, and industrial automation sectors."
BS ELECTRONICS ENGINEERING,BSECE,"BS Electronics & Communications Engineering focuses on the design and development of electronic systems and communication networks. The program includes courses in analog and digital electronics, signal processing, telecommunications, and network engineering.","Graduates can work as electronics engineers, communication engineers, network administrators, or systems designers. They can find employment in telecommunications companies, electronics manufacturers, IT firms, and research institutions."
BS ELECTRONICS TECHNOLOGY,BSET,"BS Electronics Technology emphasizes the application of electronic principles and devices in various industries. The program includes courses in electronic circuits, digital systems, instrumentation, and microcontroller applications.","Graduates can work as electronics technicians, field service engineers, instrumentation technicians, or technical support specialists. They can find employment in electronics manufacturing, telecommunications, healthcare, and industrial automation."
BS ELEMENTARY AND AGRICULTURAL EDUCATION,BSEAEd,"BS Elementary & Agricultural Education prepares students to teach both elementary school subjects and agricultural education. The program includes courses in elementary education methods, child development, agricultural science, and agribusiness.","Graduates can work as elementary school teachers with a specialization in agricultural education, agricultural extension officers, or educational program coordinators. They can find employment in elementary schools, agricultural education programs, community organizations, and government agencies."
BS ELEMENTARY EDUCATION,BSEEd,"BS Elementary Education focuses on preparing students to teach at the elementary school level. The program includes courses in child development, educational psychology, instructional methods, and subject-specific pedagogy.","Graduates can work as elementary school teachers, curriculum developers, educational consultants, or child development specialists. They can find employment in elementary schools, educational institutions, community organizations, and government agencies."
BS ENGINEERING TECHNOLOGY,BSENGt,"BS Engineering Technology emphasizes the practical application of engineering principles in various industries. The program includes courses in mechanical engineering, electrical engineering, computer-aided design, and industrial technology.","Graduates can work as engineering technologists, industrial engineers, quality control specialists, or project managers. They can find employment in manufacturing, construction, aerospace, and technology companies."
BS ENTREPRENEURIAL MANAGEMENT,BSEnM,"BS Entrepreneurial Management focuses on developing the skills necessary to start and manage businesses. The program includes courses in business planning, finance, marketing, operations management, and entrepreneurship.","Graduates can work as entrepreneurs, business consultants, startup managers, or business development officers. They can start their own businesses or find employment in startups, consulting firms, financial institutions, and corporate innovation departments."
BS ENTREPRENEURSHIP,BSEntr,"BS Entrepreneurship prepares students to create, manage, and grow their own businesses. The program includes courses in innovation, business strategy, financial management, marketing, and small business management.","Graduates can work as entrepreneurs, small business owners, venture capitalists, or innovation consultants. They can start their own businesses or find employment in startups, business incubators, venture capital firms, and innovation hubs."
BS ENTREPRENEURSHIP AND COOPERATIVES,BSECoo,"BS Entrepreneurship & Cooperatives focuses on combining entrepreneurial skills with cooperative business models. The program includes courses in cooperative management, social entrepreneurship, business planning, and community development.","Graduates can work as cooperative managers, social entrepreneurs, community development officers, or business consultants. They can find employment in cooperatives, non-profit organizations, social enterprises, and community development projects."
BS ENVIRONMENTAL AND SANITARY ENGINEERING,BSESE,"BS Environmental and Sanitary Engineering focuses on designing systems to manage and improve environmental health. The program includes courses in water and wastewater treatment, solid waste management, air pollution control, and environmental impact assessment.","Graduates can work as environmental engineers, sanitary engineers, waste management specialists, or environmental consultants. They can find employment in environmental consulting firms, government agencies, municipal utilities, and non-profit organizations."
BS ENVIRONMENTAL DEVELOPMENT,BSEDev,"BS Environmental Development focuses on sustainable development and the management of natural resources. The program includes courses in environmental science, sustainable development, environmental policy, and community planning.","Graduates can work as environmental planners, sustainability consultants, community development officers, or environmental educators. They can find employment in government agencies, non-profit organizations, international development organizations, and private sector companies focused on sustainability."
BS ENVIRONMENTAL HYGIENE,BSEHy,"BS Environmental Hygiene emphasizes the maintenance and improvement of environmental health and sanitation. The program includes courses in environmental health, sanitation engineering, public health, and occupational safety.","Graduates can work as environmental health officers, sanitation engineers, public health inspectors, or occupational health and safety specialists. They can find employment in public health departments, government agencies, healthcare facilities, and environmental consulting firms."
BS ENVIRONMENTAL MANAGEMENT,BSEMgt,"BS Environmental Management focuses on the strategies and practices for managing natural resources and reducing environmental impact. The program includes courses in environmental policy, sustainable development, resource management, and environmental impact assessment.","Graduates can work as environmental managers, sustainability consultants, environmental policy analysts, or conservation scientists. They can find employment in government agencies, non-profit organizations, environmental consulting firms, and corporate sustainability departments."
BS ENVIRONMENTAL PLANNING,BSEPln,"BS Environmental Planning involves the study of planning and developing sustainable communities with a focus on environmental preservation. The program includes courses in urban planning, land use, environmental law, and geographic information systems (GIS).","Graduates can work as urban planners, environmental planners, land use planners, or GIS specialists. They can find employment in municipal planning departments, environmental consulting firms, government agencies, and real estate development companies."
BS ENVIRONMENTAL SCIENCE,BSESc,"BS Environmental Science provides a multidisciplinary approach to understanding environmental processes and solving environmental problems. The program includes courses in ecology, biology, chemistry, environmental policy, and environmental technology.","Graduates can work as environmental scientists, ecologists, environmental consultants, or natural resource managers. They can find employment in research institutions, environmental consulting firms, government agencies, and non-profit organizations."
BS EVANGELICAL MINISTRY,BSEM,"BS Evangelical Ministry prepares students for leadership roles in evangelical Christian ministry. The program includes courses in theology, biblical studies, pastoral care, church administration, and evangelism.","Graduates can work as pastors, missionaries, youth ministers, or Christian educators. They can find employment in churches, missionary organizations, Christian non-profits, and religious educational institutions."
BS FAMILYLIFE CHILD DEVELOPMENT,BSFLCD,"BS Family Life and Child Development focuses on the development and well-being of children within the context of family and community. The program includes courses in child psychology, family studies, early childhood education, and community development.","Graduates can work as child development specialists, family counselors, early childhood educators, or community outreach coordinators. They can find employment in childcare centers, schools, family service agencies, and non-profit organizations."
BS FIRE PROTECTION ENGINEERING,BSFPE,"BS in Fire Protection Engineering (BFPE) program provides students with a comprehensive understanding of fire dynamics, fire safety systems, and engineering principles applied to fire protection. Through a combination of theoretical coursework and hands-on laboratory experiences, students learn to design, analyze, and implement fire protection systems to safeguard lives, property, and the environment.","Graduates of the BFPE program have a wide range of career opportunities in the field of fire protection engineering. They can work as fire protection engineers, designing and evaluating fire detection, suppression, and evacuation systems for buildings, industrial facilities, and transportation infrastructure. Other potential roles include fire safety consultants, code compliance specialists, risk analysts, and fire investigation experts. Graduates may find employment in various sectors, including engineering consulting firms, government agencies, insurance companies, and research institutions. Additionally, some may choose to pursue advanced degrees or certifications to specialize further in areas such as fire dynamics, fire modeling, or forensic fire investigation."
BS FISHERIES,BSFish,"BS Fisheries focuses on the management and conservation of fishery resources. The program includes courses in marine biology, aquaculture, fishery management, and fishery economics.","Graduates can work as fishery biologists, aquaculture managers, fishery consultants, or marine conservationists. They can find employment in government fishery departments, aquaculture farms, research institutions, and environmental organizations."
BS FISHERY EDUCATION,BSFEd,"BS Fishery Education prepares students to teach fishery science and management at various educational levels. The program includes courses in fishery biology, aquaculture, environmental education, and teaching methods.","Graduates can work as fishery science teachers, educational program coordinators, aquaculture trainers, or environmental educators. They can find employment in schools, educational institutions, aquaculture training centers, and community education programs."
BS FISHING TECHNOLOGY,BSFiT,"BS Fishing Technology focuses on the technical and operational aspects of commercial and recreational fishing. The program includes courses in marine engineering, navigation, fishery technology, and resource management.","Graduates can work as fishing vessel captains, marine technicians, fishery inspectors, or marine operations managers. They can find employment in commercial fishing companies, fishery management agencies, marine equipment companies, and maritime organizations."
BS FOOD DIETETICS,BSFD,"BS Food Dietetics combines the study of nutrition and dietetics with food service management. The program includes courses in human nutrition, food science, clinical dietetics, and food service management.","Graduates can work as dietitians, nutritionists, food service managers, or public health nutritionists. They can find employment in hospitals, healthcare facilities, schools, food service companies, and community health organizations."
BS FOOD ENGINEERING,BSFEng,"BS Food Engineering focuses on the engineering principles involved in the production, processing, and distribution of food. The program includes courses in food processing, food safety, food packaging, and food plant design.","Graduates can work as food engineers, process engineers, quality control managers, or food safety specialists. They can find employment in food manufacturing companies, food processing plants, regulatory agencies, and research institutions."
BS FOOD SERVICE ADMINISTRATION,BSFA,"BS Food Service Administration focuses on the management and operation of food service establishments such as restaurants, hotels, and catering businesses. The program includes courses in food service management, nutrition, hospitality management, and business administration.","Graduates can work as food service managers, restaurant managers, catering managers, or hospitality managers. They can find employment in restaurants, hotels, catering companies, and institutional food service operations."
BS FOOD TECHNOLOGY,BSFT,"BS Food Technology focuses on the science and technology behind food production and processing. The program includes courses in food chemistry, microbiology, food processing, quality control, and food safety.","Graduates can work as food technologists, quality assurance managers, product development scientists, or food safety specialists. They can find employment in food manufacturing companies, research institutions, regulatory agencies, and quality control laboratories."
BS FOODS AND NUTRITION,BSFN,"BS Foods and Nutrition combines the study of nutrition science with the principles of food preparation and dietary management. The program includes courses in human nutrition, dietetics, food science, and public health nutrition.","Graduates can work as nutritionists, dietitians, food service managers, or public health nutritionists. They can find employment in hospitals, healthcare facilities, schools, community health organizations, and food service companies."
BS FOREIGN SERVICE,BSFSer,"BS Foreign Service prepares students for careers in diplomacy, international relations, and global affairs. The program includes courses in international politics, foreign policy, diplomatic practice, and international law.","Graduates can work as diplomats, foreign service officers, international consultants, or policy analysts. They can find employment in government foreign service departments, international organizations, NGOs, and multinational corporations."
BS FOREST ENGINNERING,BSFoE,"BS Forest Engineering combines principles of engineering with forestry to manage forest resources and related infrastructure. The program includes courses in forest management, hydrology, soil science, and environmental engineering.","Graduates can work as forest engineers, environmental consultants, conservation engineers, or land use planners. They can find employment in government forest services, environmental consulting firms, logging companies, and conservation organizations."
BS FOREST PRODUCTS ENGINEERING,BSFPEn,"BS Forest Products Engineering focuses on the technology and processes involved in converting forest resources into usable products. The program includes courses in wood science, manufacturing technology, material science, and product development.","Graduates can work as forest product engineers, manufacturing managers, quality control specialists, or research and development scientists. They can find employment in forest product companies, manufacturing industries, research institutions, and regulatory agencies."
BS FORESTRY,BSFor,"BS Forestry focuses on the management and conservation of forest ecosystems. The program includes courses in silviculture, forest ecology, wildlife management, and forest policy.","Graduates can work as foresters, conservation scientists, forest managers, or environmental consultants. They can find employment in government forestry departments, conservation organizations, research institutions, and environmental consulting firms."
BS GENERAL SCIENCE,BSGSc,"BS General Science provides a broad-based education in various scientific disciplines, including biology, chemistry, physics, and earth sciences. The program includes courses in each of these areas along with laboratory and research experience.","Graduates can work as science teachers, research assistants, laboratory technicians, or science communicators. They can find employment in educational institutions, research laboratories, government agencies, and science communication organizations."
BS GEODETIC ENGINEERING,BSGE,"BS Geodetic Engineering focuses on the measurement and representation of the Earth’s surface, including land surveying and mapping. The program includes courses in geodesy, cartography, remote sensing, and geographic information systems (GIS).","Graduates can work as geodetic engineers, land surveyors, GIS specialists, or cartographers. They can find employment in government mapping agencies, construction companies, surveying firms, and GIS technology companies."
BS GEOGRAPHY,BSGeog,"BS Geography studies the physical features of the Earth and human societies spread across it. The program includes courses in physical geography, human geography, environmental geography, and geographic information systems (GIS).","Graduates can work as geographers, urban planners, GIS analysts, or environmental consultants. They can find employment in government planning departments, environmental organizations, research institutions, and private sector companies involved in spatial analysis and planning."
BS GEOLOGY,BSGeo,"BS Geology focuses on the study of the Earth, including its materials, processes, and history. The program includes courses in mineralogy, petrology, geophysics, structural geology, and field methods.","Graduates can work as geologists, environmental consultants, exploration geologists, or hydrogeologists. They can find employment in mining companies, environmental consulting firms, government geological surveys, and research institutions."
BS GEOTHERMAL ENGINEERING,BSGEng,"BS Geothermal Engineering focuses on the extraction and utilization of geothermal energy. The program includes courses in geothermal systems, reservoir engineering, drilling technology, and sustainable energy management.","Graduates can work as geothermal engineers, energy consultants, project managers, or research scientists. They can find employment in energy companies, geothermal power plants, consulting firms, and government agencies focused on renewable energy."
BS GUIDANCE AND COUNSELLING,BSGC,"BS Guidance and Counseling prepares students to support individuals in their personal, social, and academic development. The program includes courses in psychology, counseling techniques, educational psychology, and career guidance.","Graduates can work as school counselors, career counselors, mental health counselors, or rehabilitation counselors. They can find employment in schools, colleges, mental health clinics, and community organizations."
BS HOLISTIC NUTRITION WITH CULINARY ARTS,BSHNCA,"BS Holistic Nutrition with Culinary Arts combines the study of nutrition with culinary skills. The program includes courses in holistic health, nutrition science, culinary techniques, and food service management.","Graduates can work as holistic nutritionists, culinary instructors, wellness coaches, or food service managers. They can find employment in wellness centers, culinary schools, health food companies, and private practice."
BS HOME ARTS AND ENTREPRENEURSHIP,BSHAE,"BS Home Arts and Entrepreneurship focuses on creative arts within the home combined with entrepreneurial skills. The program includes courses in home crafts, small business management, marketing, and product development.","Graduates can work as home-based business owners, craft entrepreneurs, product developers, or small business consultants. They can find employment in the craft industry, entrepreneurial ventures, and small business development centers."
BS HOME ECONOMICS,BSHE,"BS Home Economics covers the management of household and community resources. The program includes courses in nutrition, family resource management, textiles and clothing, and consumer education.","Graduates can work as home economists, family and consumer science educators, extension agents, or community service coordinators. They can find employment in educational institutions, community organizations, government agencies, and private industry."
"BS HOME ECONOMICS, EDUCATION, AND TECHNOLOGY",BSHEET,"BS Home Economics, Education, and Technology focuses on teaching home economics with an emphasis on modern technology. The program includes courses in educational methods, family studies, nutrition, and technology applications.","Graduates can work as home economics teachers, curriculum developers, educational technologists, or family resource managers. They can find employment in schools, educational institutions, community organizations, and educational technology firms."
BS HOME TECHNOLOGY,BSHT,"BS Home Technology focuses on the application of technology in the home environment. The program includes courses in household technology, family resource management, home maintenance, and consumer electronics.","Graduates can work as home technology consultants, home automation specialists, family resource managers, or consumer product developers. They can find employment in consumer electronics companies, home automation firms, and family service organizations."
BS HOME TECHNOLOGY EDUCATION,BSHTE,"BS Home Technology Education prepares students to teach technology applications in home economics. The program includes courses in educational methods, household technology, family studies, and curriculum development.","Graduates can work as home technology educators, curriculum specialists, educational consultants, or family resource managers. They can find employment in schools, educational institutions, community organizations, and educational technology firms."
BS HOSPITALITY MANAGEMENT,BSHM,"BS Hospitality Management focuses on the management and operation of hospitality businesses such as hotels, restaurants, and resorts. The program includes courses in hospitality management, food and beverage management, hotel operations, and customer service.","Graduates can work as hotel managers, restaurant managers, event planners, or hospitality consultants. They can find employment in hotels, resorts, restaurants, event planning companies, and hospitality consulting firms."
BS HOTEL AND RESTAURANT MANAGEMENT,BSHRM,"BS Hotel and Restaurant Management focuses on the principles and practices involved in the hospitality industry, specifically in hotel and restaurant operations. The program includes courses in hospitality management, culinary arts, food and beverage management, hotel operations, and customer service.","Graduates can work as hotel managers, restaurant managers, event planners, or hospitality consultants. They can find employment in hotels, resorts, restaurants, event planning companies, and hospitality consulting firms."
BS HUMAN BIOLOGY,BSHBio,"BS Human Biology studies the biological aspects of the human body, including its structure, function, growth, and development. The program includes courses in anatomy, physiology, genetics, biochemistry, and human health.","Graduates can work as research scientists, laboratory technicians, healthcare professionals, or pursue further studies in medicine, dentistry, or other health-related fields. They can find employment in research institutions, healthcare facilities, biotechnology companies, and educational institutions."
BS HUMAN ECOLOGY,BSHEco,"BS Human Ecology examines the relationships between humans and their natural, social, and built environments. The program includes courses in environmental science, sociology, public health, and resource management.","Graduates can work as environmental consultants, public health advisors, community planners, or sustainability coordinators. They can find employment in government agencies, non-profit organizations, community development programs, and environmental consulting firms."
BS INDUSTRIAL AND MANAGEMENT ENGINEERING,BSIME,"BS Industrial and Management Engineering combines engineering principles with management practices to improve efficiency and productivity in industrial operations. The program includes courses in systems engineering, operations management, logistics, and quality control.","Graduates can work as industrial engineers, operations managers, process engineers, or quality assurance managers. They can find employment in manufacturing companies, logistics firms, consulting firms, and government agencies."
BS INDUSTRIAL ARTS,BSIArt,"BS Industrial Arts focuses on the practical skills and knowledge needed to work with various materials and tools in creating functional and aesthetic products. The program includes courses in woodworking, metalworking, drafting, and industrial design.","Graduates can work as industrial arts teachers, product designers, artisans, or craftsmen. They can find employment in educational institutions, manufacturing companies, design studios, and craft workshops."
BS INDUSTRIAL DESIGN,BSIDes,"BS Industrial Design focuses on the design and development of products that are both functional and aesthetically pleasing. The program includes courses in product design, materials science, ergonomics, and manufacturing processes.","Graduates can work as industrial designers, product developers, design consultants, or usability specialists. They can find employment in design studios, manufacturing companies, consumer electronics firms, and innovation labs."
BS INDUSTRIAL EDUCATION,BSIEd,"BS Industrial Education prepares students to teach industrial and technical subjects at various educational levels. The program includes courses in teaching methods, curriculum development, technical drawing, and vocational training.","Graduates can work as industrial education teachers, vocational trainers, curriculum developers, or educational consultants. They can find employment in schools, vocational training centers, community colleges, and educational organizations."
BS INDUSTRIAL ENGINEERING,BSIEng,"BS Industrial Engineering focuses on optimizing complex processes and systems to improve efficiency, productivity, and quality. The program includes courses in systems engineering, operations research, manufacturing processes, and quality management.","Graduates can work as industrial engineers, process engineers, operations managers, or quality control specialists. They can find employment in manufacturing companies, logistics firms, consulting firms, and government agencies."
BS INDUSTRIAL PHARMACY,BSIP,"BS Industrial Pharmacy focuses on the pharmaceutical sciences and the production, development, and regulation of pharmaceutical products. The program includes courses in pharmaceutical chemistry, pharmacology, manufacturing processes, and quality control.","Graduates can work as industrial pharmacists, quality control analysts, production managers, or regulatory affairs specialists. They can find employment in pharmaceutical companies, biotechnology firms, regulatory agencies, and research institutions."
BS INDUSTRIAL PSYCHOLOGY,BSIPsy,"BS Industrial Psychology studies human behavior in workplace settings to improve employee performance and well-being. The program includes courses in psychology, human resources management, organizational behavior, and occupational health.","Graduates can work as industrial-organizational psychologists, human resources specialists, organizational development consultants, or talent management professionals. They can find employment in corporate HR departments, consulting firms, government agencies, and research institutions."
BS INDUSTRIAL TECHNOLOGY,BSIT,"BS Industrial Technology focuses on the application of engineering and technology principles to industrial processes. The program includes courses in manufacturing technology, automation, industrial safety, quality control, and materials science.","Graduates can work as industrial technologists, quality control specialists, production supervisors, or maintenance managers. They can find employment in manufacturing companies, industrial plants, maintenance departments, and quality assurance firms."
BS INFORMATION AND COMPUTER SCIENCE,BSICS,"BS Information & Computer Science focuses on the theoretical and practical aspects of computing and information systems. The program includes courses in computer programming, data structures, algorithms, database management, and software engineering.","Graduates can work as software developers, systems analysts, database administrators, or IT consultants. They can find employment in software development companies, IT departments, consulting firms, and research institutions."
BS INFORMATION MANAGEMENT,BSIM,"BS Information Management focuses on managing information systems and technology in organizations. The program includes courses in information systems, data management, business intelligence, IT project management, and cybersecurity.","Graduates can work as information managers, IT project managers, data analysts, or business intelligence analysts. They can find employment in corporate IT departments, consulting firms, government agencies, and technology companies."
BS INFORMATION SYSTEMS,BSIS,"The Bachelor of Science in Information Systems (BSIS) program is designed to equip students with a comprehensive understanding of the intersection between technology and business processes. This program focuses on the analysis, design, implementation, and management of information systems that support organizational functions. Core topics include database management, systems analysis and design, networking, information security, and project management. Students gain practical skills through hands-on experience with current technologies and software tools, preparing them to solve real-world problems and enhance operational efficiency.","Graduates of the BSIS program are expected to achieve several key outcomes. They will have the ability to analyze complex problems and identify appropriate computing solutions that integrate effectively with organizational needs. They will demonstrate proficiency in designing, implementing, and evaluating information systems to meet desired requirements. Additionally, they will possess strong project management skills, enabling them to lead projects that align with business goals and regulatory standards. Graduates will also be adept at communicating technical and business concepts to diverse audiences, ensuring effective collaboration within and across teams. Ethical considerations and social responsibilities are emphasized, ensuring that graduates are prepared to make informed decisions that benefit society and comply with professional standards. Overall, the BSIS program aims to produce versatile professionals capable of leveraging technology to drive innovation and efficiency in various business environments."
BS INFORMATION SCIENCE,BSIS,"BS Information Science focuses on the study of how information is collected, processed, stored, and communicated. The program includes courses in information retrieval, data management, library science, and information systems.","Graduates can work as information scientists, data managers, librarians, or information systems specialists. They can find employment in libraries, information centers, corporate IT departments, and research institutions."
BS INFORMATION TECHNOLOGY,BSIT,"BS Information Technology focuses on the practical application of technology to solve business problems. The program includes courses in network administration, web development, cybersecurity, IT infrastructure, and software development.","Graduates can work as IT specialists, network administrators, web developers, or cybersecurity analysts. They can find employment in corporate IT departments, technology firms, government agencies, and startups."
BS INTERDISCIPLINARY BUSINESS STUDIES,BSIBS,"BS Interdisciplinary Business Studies combines various business disciplines such as management, marketing, finance, and entrepreneurship. The program includes courses in business strategy, marketing, finance, management, and economics.","Graduates can work as business analysts, marketing managers, financial analysts, or entrepreneurs. They can find employment in a wide range of industries, including finance, marketing, consulting, and start-up ventures."
BS INTERIOR DESIGN,BSIntD,"BS Interior Design focuses on creating functional and aesthetically pleasing interior spaces. The program includes courses in design principles, color theory, space planning, furniture design, and computer-aided design (CAD).","Graduates can work as interior designers, space planners, design consultants, or furniture designers. They can find employment in design firms, architecture firms, furniture companies, and as independent consultants."
BS INTERNATIONAL BUSINESS AND ENTREPRENEURAL MANAGEMENT,BSIBEM,"BS International Business & Entrepreneurial Management focuses on global business practices and entrepreneurship. The program includes courses in international trade, global marketing, entrepreneurial finance, and business strategy.","Graduates can work as international business managers, entrepreneurs, export managers, or business consultants. They can find employment in multinational corporations, international trade companies, consulting firms, and start-ups."
BS INTERNATIONAL RELATIONS,BSIR,"BS International Relations studies the interactions between countries, including politics, economics, and cultural exchanges. The program includes courses in international politics, diplomacy, global economics, and international law.","Graduates can work as diplomats, international relations specialists, policy analysts, or global affairs consultants. They can find employment in government agencies, international organizations, NGOs, and multinational corporations."
BS ISLAMIC STUDIES,BDIS,"BS Islamic Studies focuses on the religion, culture, history, and politics of the Islamic world. The program includes courses in Islamic theology, history, jurisprudence, and contemporary issues in the Muslim world.","Graduates can work as researchers, educators, cultural advisors, or religious leaders. They can find employment in educational institutions, cultural organizations, government agencies, and religious institutions."
BS JOURNALISM,BSJour,"BS Journalism focuses on developing skills in news reporting, writing, and editing for various media platforms. The program includes courses in news writing, media ethics, investigative journalism, digital media, and multimedia storytelling.","Graduates can work as journalists, reporters, editors, news analysts, or media consultants. They can find employment in newspapers, magazines, television and radio stations, online media platforms, and public relations firms."
BS JURISPRUDENCE,BSJur,"BS Jurisprudence provides a foundational understanding of the principles and theories of law. The program includes courses in legal theory, constitutional law, civil law, criminal law, and legal research.","Graduates can work as legal assistants, paralegals, law researchers, or pursue further studies to become lawyers. They can find employment in law firms, corporate legal departments, government agencies, and non-profit organizations."
BS KINDERGARTEN EDUCATION,BSKinE,"BS Kindergarten Education prepares students to teach young children in kindergarten settings. The program includes courses in child development, early childhood education methods, classroom management, and educational psychology.","Graduates can work as kindergarten teachers, early childhood educators, childcare center directors, or educational consultants. They can find employment in schools, early learning centers, daycare facilities, and educational organizations."
BS LANDSCAPE ARCHITECTURE,BLArch,"Bachelor of Landscape Architecture emphasizes the design, planning, and management of outdoor spaces. The program includes courses in landscape design principles, plant science, environmental sustainability, site planning, and landscape construction.","Graduates can work as landscape architects, urban designers, landscape planners, and environmental consultants. They can find employment in landscape architecture firms, urban planning departments, environmental agencies, and design-build firms."
BS LIBRARY SCIENCE,BSLibS,"BS Library Science focuses on the management of library resources and information services. The program includes courses in cataloging, classification, information retrieval, digital libraries, and library management.","Graduates can work as librarians, information specialists, archivists, or digital librarians. They can find employment in public and private libraries, educational institutions, corporate libraries, and government agencies."
BS LIBRARY AND INFORMATION SCIENCE,BLISc,"BS Library and Information Science focuses on the management and organization of information resources in libraries and other information settings. The program covers cataloging, classification, information retrieval, digital libraries, and library management.","Graduates can work as librarians, information specialists, research analysts, and knowledge managers. They can find employment in libraries, archives, information centers, research institutions, and corporate libraries."
BS LITERARY EDUCATION,BSLEd,"BS Literary Education focuses on the study and teaching of literature. The program includes courses in literary theory, world literature, creative writing, and teaching methodologies.","Graduates can work as literature teachers, writers, editors, or literary critics. They can find employment in schools, colleges, publishing houses, media organizations, and cultural institutions."
BS MANAGEMENT,BSMgmt,"BS Management focuses on the principles and practices of managing businesses and organizations. The program includes courses in organizational behavior, strategic management, human resources, and business ethics.","Graduates can work as managers, business analysts, operations managers, or consultants. They can find employment in a wide range of industries, including finance, manufacturing, retail, healthcare, and government."
BS MANAGEMENT AND INDUSTRIAL ENGINEERING,BSMIE,"BS Management & Industrial Engineering combines management principles with industrial engineering techniques to improve organizational efficiency. The program includes courses in operations management, quality control, systems engineering, and project management.","Graduates can work as industrial engineers, operations managers, process improvement specialists, or quality assurance managers. They can find employment in manufacturing companies, consulting firms, logistics firms, and government agencies."
BS MANAGEMENT ACCOUNTING,BSMA,"BS Management Accounting focuses on the use of accounting information for managerial decision-making. The program includes courses in financial accounting, cost accounting, managerial accounting, and business finance.","Graduates can work as management accountants, financial analysts, budget analysts, or internal auditors. They can find employment in corporate finance departments, accounting firms, government agencies, and non-profit organizations."
BS MANAGEMENT ENGINEERING,BSMEng,"BS Management Engineering combines engineering principles with business management practices. The program includes courses in systems engineering, operations research, project management, and business strategy.","Graduates can work as management engineers, project managers, operations analysts, or business consultants. They can find employment in engineering firms, manufacturing companies, consulting firms, and government agencies."
BS MANAGEMENT INFORMATION SYSTEM,BSMIS,"BS Management Information System focuses on the use of information technology to solve business problems. The program includes courses in database management, systems analysis, information systems management, and cybersecurity.","Graduates can work as IT managers, systems analysts, database administrators, or business analysts. They can find employment in corporate IT departments, consulting firms, technology companies, and government agencies."
BS MANUFACTURING ENGINEERING MANAGEMENT,BSMEM,"BS Manufacturing Engineering Management focuses on the management of manufacturing processes and systems. The program includes courses in manufacturing processes, production planning, quality control, and supply chain management.","Graduates can work as manufacturing engineers, production managers, quality assurance managers, or supply chain analysts. They can find employment in manufacturing companies, industrial plants, logistics firms, and consulting firms."
BS MARINE BIOLOGY,BSMBio,"BS Marine Biology focuses on the study of marine organisms and their ecosystems. The program includes courses in marine ecology, oceanography, marine physiology, and environmental science.","Graduates can work as marine biologists, environmental consultants, research scientists, or marine resource managers. They can find employment in research institutions, government agencies, environmental organizations, and aquariums."
